X,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
505,Watchog,Normal,NA,420,60,85,69,60,69,77,5,FALSE
594,Alomomola,Water,NA,470,165,75,80,40,45,65,5,FALSE
309,Electrike,Electric,NA,295,40,45,40,65,40,65,3,FALSE
223,Remoraid,Water,NA,300,35,65,35,65,35,65,2,FALSE
504,Patrat,Normal,NA,255,45,55,39,35,39,42,5,FALSE
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,TRUE
386,DeoxysAttack Forme,Psychic,NA,600,50,180,20,180,20,150,3,TRUE
98,Krabby,Water,NA,325,30,105,90,25,25,50,1,FALSE
607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,FALSE
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,FALSE
679,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,FALSE
353,Shuppet,Ghost,NA,295,44,75,35,63,33,45,3,FALSE
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,FALSE
23,Ekans,Poison,NA,288,35,60,44,40,54,55,1,FALSE
387,Turtwig,Grass,NA,318,55,68,64,45,55,31,4,FALSE
320,Wailmer,Water,NA,400,130,70,35,70,35,60,3,FALSE
32,Nidoran♂,Poison,NA,273,46,57,40,40,40,50,1,FALSE
647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
367,Huntail,Water,NA,485,55,104,105,94,75,52,3,FALSE
708,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,FALSE
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,TRUE
335,Zangoose,Normal,NA,458,73,115,60,60,60,90,3,FALSE
493,Arceus,Normal,NA,720,120,120,120,120,120,120,4,TRUE
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
88,Grimer,Poison,NA,325,80,80,50,40,50,25,1,FALSE
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
424,Ambipom,Normal,NA,482,75,100,66,60,66,115,4,FALSE
412,Burmy,Bug,NA,224,40,29,45,29,45,36,4,FALSE
648,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,FALSE
507,Herdier,Normal,NA,370,65,80,65,35,65,60,5,FALSE
555,DarmanitanStandard Mode,Fire,NA,480,105,140,55,30,55,95,5,FALSE
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
100,Voltorb,Electric,NA,330,40,30,50,55,55,100,1,FALSE
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
150,Mewtwo,Psychic,NA,680,106,110,90,154,90,130,1,TRUE
273,Seedot,Grass,NA,220,40,40,50,30,30,30,3,FALSE
394,Prinplup,Water,NA,405,64,66,68,81,76,50,4,FALSE
526,Gigalith,Rock,NA,515,85,135,130,60,80,25,5,FALSE
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
605,Elgyem,Psychic,NA,335,55,55,55,85,55,30,5,FALSE
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
197,Umbreon,Dark,NA,525,95,65,110,60,130,65,2,FALSE
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,FALSE
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
236,Tyrogue,Fighting,NA,210,35,35,35,35,35,35,2,FALSE
331,Cacnea,Grass,NA,335,50,85,40,85,40,35,3,FALSE
646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,TRUE
354,BanetteMega Banette,Ghost,NA,555,64,165,75,93,83,75,3,FALSE
266,Silcoon,Bug,NA,205,50,35,55,25,25,15,3,FALSE
429,Mismagius,Ghost,NA,495,60,60,60,105,105,105,4,FALSE
531,Audino,Normal,NA,445,103,60,86,60,86,50,5,FALSE
460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,FALSE
210,Granbull,Fairy,NA,450,90,120,75,60,60,45,2,FALSE
583,Vanillish,Ice,NA,395,51,65,65,80,75,59,5,FALSE
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE
159,Croconaw,Water,NA,405,65,80,80,59,63,58,2,FALSE
409,Rampardos,Rock,NA,495,97,165,60,65,50,58,4,FALSE
633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,FALSE
642,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,TRUE
440,Happiny,Normal,NA,220,100,5,5,15,65,30,4,FALSE
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,FALSE
433,Chingling,Psychic,NA,285,45,30,50,65,50,45,4,FALSE
162,Furret,Normal,NA,415,85,76,64,45,55,90,2,FALSE
157,Typhlosion,Fire,NA,534,78,84,78,109,85,100,2,FALSE
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,FALSE
327,Spinda,Normal,NA,360,60,60,60,60,60,60,3,FALSE
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE
696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,FALSE
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,TRUE
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
532,Timburr,Fighting,NA,305,75,80,55,25,35,35,5,FALSE
255,Torchic,Fire,NA,310,45,60,40,70,50,45,3,FALSE
486,Regigigas,Normal,NA,670,110,160,110,80,110,100,4,TRUE
408,Cranidos,Rock,NA,350,67,125,40,30,30,58,4,FALSE
678,MeowsticFemale,Psychic,NA,466,74,48,76,83,81,104,6,FALSE
50,Diglett,Ground,NA,265,10,55,25,35,45,95,1,FALSE
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
175,Togepi,Fairy,NA,245,35,20,65,40,65,20,2,FALSE
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
264,Linoone,Normal,NA,420,78,70,61,50,61,100,3,FALSE
659,Bunnelby,Normal,NA,237,38,36,38,32,36,57,6,FALSE
9,Blastoise,Water,NA,530,79,83,100,85,105,78,1,FALSE
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
245,Suicune,Water,NA,580,100,75,115,90,115,85,2,TRUE
413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,FALSE
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,FALSE
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
191,Sunkern,Grass,NA,180,30,30,30,30,30,30,2,FALSE
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,FALSE
51,Dugtrio,Ground,NA,405,35,80,50,50,70,120,1,FALSE
294,Loudred,Normal,NA,360,84,71,43,71,43,48,3,FALSE
310,Manectric,Electric,NA,475,70,75,60,105,60,105,3,FALSE
113,Chansey,Normal,NA,450,250,5,5,35,105,50,1,FALSE
96,Drowzee,Psychic,NA,328,60,48,45,43,90,42,1,FALSE
118,Goldeen,Water,NA,320,45,67,60,35,50,63,1,FALSE
692,Clauncher,Water,NA,330,50,53,62,58,63,44,6,FALSE
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
420,Cherubi,Grass,NA,275,45,35,45,62,53,35,4,FALSE
192,Sunflora,Grass,NA,425,75,75,55,105,85,30,2,FALSE
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,FALSE
263,Zigzagoon,Normal,NA,240,38,30,41,30,41,60,3,FALSE
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,FALSE
233,Porygon2,Normal,NA,515,85,80,90,105,95,60,2,FALSE
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE
133,Eevee,Normal,NA,325,55,55,50,45,65,55,1,FALSE
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
554,Darumaka,Fire,NA,315,70,90,45,15,45,50,5,FALSE
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
